code,A,B,C,D
9314,0,0,1,0
9321,0,0,1,0
9323,0,0,1,0
9332,0,0,1,0
9336,0,0,1,0
9339,0,0,1,0
9343,0,0,1,0
9352,0,0,1,0
9353,0,0,1,0
9363,0,0,1,0
9369,0,0,1,0
9370,0,0,1,0
9371,0,0,1,0
9380,0,0,1,0
9381,0,0,1,0
9382,0,0,1,0
9383,0,0,1,0
9386,0,0,1,0
9388,0,0,1,0
9390,0,0,1,0
9391,0,0,1,0
9392,0,0,1,0
9394,0,0,1,0
9395,0,0,1,0
9399,0,0,1,0
9402,0,0,1,0
9404,0,0,1,0
9405,0,0,1,0
9407,0,0,1,0
9408,0,0,1,0
9409,0,0,1,0
9412,0,0,1,0
9413,0,0,1,0
9416,0,0,1,0
9421,0,0,1,0
9433,0,0,1,0
9436,0,0,1,0
9437,0,0,1,0
9442,0,0,1,0
9450,0,0,1,0
9451,0,0,1,0
9452,0,0,1,0
9453,0,0,1,0
9454,0,0,1,0
9455,0,0,1,0
9470,0,0,1,0
9471,0,0,1,0
9476,0,0,1,0
9481,0,0,1,0
9503,0,0,1,0
9506,0,0,1,0
9507,0,0,1,0
9508,0,0,1,0
9509,0,0,1,0
9510,0,0,1,0
9511,0,0,1,0
9512,0,0,1,0
9513,0,0,1,0
9514,0,0,1,0
9515,0,0,1,0
9517,0,0,1,0
9518,0,0,1,0
9519,0,0,1,0
9521,0,0,1,0
9522,0,0,1,0
9523,0,0,1,0
9524,0,0,1,0
9525,0,0,1,0
9526,0,0,1,0
9527,0,0,1,0
9528,0,0,1,0
9529,0,0,1,0
9530,0,0,1,0
9531,0,0,1,0
9532,0,0,1,0
9533,0,0,1,0
9534,0,0,1,0
9535,0,0,1,0
9536,0,0,1,0
9537,0,0,1,0
9539,0,0,1,0
9540,0,0,1,0
9541,0,0,1,0
9542,0,0,1,0
9543,0,0,1,0
9544,0,0,1,0
9545,0,0,1,0
9546,0,0,1,0
9547,0,0,1,0
9548,0,0,1,0
9549,0,0,1,0
9550,0,0,1,0
9551,0,0,1,0
9552,0,0,1,0
9553,0,0,1,0
9554,0,0,1,0
9555,0,0,1,0
9556,0,0,1,0
9557,0,0,1,0
9558,0,0,1,0
9559,0,0,1,0
9560,0,0,1,0
9561,0,0,1,0
9562,0,0,1,0
9564,0,0,1,0
9565,0,0,1,0
9567,0,0,1,0
9568,0,0,1,0
9569,0,0,1,0
9571,0,0,1,0
9573,0,0,1,0
9574,0,0,1,0
9576,0,0,1,0
9577,0,0,1,0
9578,0,0,1,0
9579,0,0,1,0
9581,0,0,1,0
9582,0,0,1,0
9583,0,0,1,0
9584,0,0,1,0
9585,0,0,1,0
9586,0,0,1,0
9587,0,0,1,0
