code,AUDPS_Anc_21,AUDPS_Evo_21,Infectivity_Anc_21,Infectivity_Evo_21,SYM_Anc,SYM_Evo,Necrosis_Anc,Necrosis_Evo
6092,9.45,6.833333333,0.6,0.4,2,1,0,0
6094,7.708333333,5.694444444,0.5,0.333333333,2,2,0,0
6095,0,2.513888889,0,0.166666667,0,2,0,0
6097,2.180555556,0,0.166666667,0,2,0,0,0
6098,6.035714286,11.86666667,0.428571429,0.8,3,3,0,0
6099,2.90625,8.427083333,0.375,0.5,1,2,0,0
6100,7.041666667,11.33333333,0.375,0.625,2,2,0,0
6101,1.385416667,6.791666667,0.125,0.5,3,2,0,0
6102,0,1.885416667,0,0.125,0,1,0,0
6104,7.302083333,8.052083333,0.625,0.5,2,2,0,0
6105,10.69791667,9.6875,0.875,0.75,2,2,0,0
6106,5.15625,5.416666667,0.375,0.5,1,2,0,0
6107,8.052083333,13.82291667,0.625,0.875,3,4,0,0
6108,12.82291667,7.541666667,0.875,0.5,4,3,0,0
6109,8.677083333,3.395833333,0.625,0.25,1,1,0,0
6111,6.052083333,10.69791667,0.625,0.875,2,2,0,0
6112,9.072916667,2.010416667,0.875,0.125,2,2,0,0
6113,6.166666667,7.427083333,0.5,0.625,2,2,0,0
6114,2.010416667,2.770833333,0.125,0.25,2,2,0,0
6115,2.135416667,0,0.125,0,2,0,0,0
6118,4.28125,1.510416667,0.375,0.125,2,2,0,0
6119,8.177083333,4.53125,0.625,0.375,2,1,0,0
6122,7.552083333,8.177083333,0.625,0.625,1,2,0,0
6123,0,0,0,0,0,0,0,0
6124,6.416666667,9.4375,0.5,0.5,2,2,0,0
6125,0,1.270833333,0,0.25,0,1,0,0
6126,1.385416667,3.645833333,0.125,0.25,1,2,0,0
6128,3.645833333,6.041666667,0.25,0.5,2,2,0,0
6131,0,0,0,0,0,0,0,0
6132,1.885416667,0,0.125,0,2,0,0,0
6133,1.260416667,2.520833333,0.125,0.25,1,1,0,0
6134,2.270833333,4.916666667,0.25,0.5,1,1,0,0
6136,3.020833333,5.041666667,0.25,0.5,2,3,0,0
6137,3.40625,5.28125,0.375,0.375,2,3,0,0
6138,6.416666667,2.770833333,0.5,0.25,1,1,0,0
6140,4.15625,1.385416667,0.375,0.125,1,1,0,0
6141,1.385416667,2.145833333,0.125,0.25,1,1,0,0
6142,1.260416667,4.178571429,0.125,0.428571429,1,2,0,0
6145,10.3125,9.3125,0.625,0.5,1,1,0,0
6148,5.40625,12.69791667,0.375,0.75,2,2,0,0
6149,3.03125,2.895833333,0.375,0.25,1,1,0,0
6150,3.770833333,0.885416667,0.25,0.125,1,2,0,0
6151,1.885416667,3.770833333,0.125,0.25,1,3,0,0
6153,3.90625,4.270833333,0.375,0.25,2,3,0,0
6154,3.270833333,0,0.25,0,3,0,0,0
6163,4.90625,10.1875,0.375,0.75,4,4,0,0
6166,4.15625,10.05208333,0.375,0.625,4,4,0,0
6169,8.927083333,5.916666667,0.625,0.5,3,2,0,0
6172,19.39583333,16.625,0.875,0.75,2,3,0,0
6173,15.08333333,11.5625,1,0.75,2,3,0,0
6174,5.791666667,5.40625,0.5,0.375,3,3,0,0
6177,11.5625,10.32291667,0.75,0.875,4,3,0,0
6180,4.145833333,0,0.25,0,4,0,0,0
6184,9.697916667,8.6875,0.875,0.75,4,3,0,0
6188,3.020833333,1.885416667,0.25,0.125,2,1,0,0
6189,2.40625,5.302083333,0.375,0.625,1,2,0,0
6191,9.8125,4.15625,0.75,0.375,3,3,0,0
6192,4.90625,10.94791667,0.375,0.875,3,3,0,0
6193,8.4375,9.822916667,0.75,0.875,2,3,0,0
6194,5.916666667,14.33333333,0.5,1,2,3,0,0
6195,3.541666667,4.916666667,0.5,0.5,2,2,0,0
6201,3.520833333,5.416666667,0.25,0.5,2,2,0,0
6202,5.15625,1.385416667,0.375,0.125,2,1,0,0
6203,1.145833333,2.395833333,0.25,0.25,1,2,0,0
6209,1.135416667,3.65625,0.125,0.375,1,1,0,0
6210,2.520833333,3.40625,0.25,0.375,1,1,0,0
6214,4.78125,6.541666667,0.375,0.5,2,2,0,0
6216,3.15625,3.020833333,0.375,0.25,2,2,0,0
6217,2.770833333,3.520833333,0.25,0.25,2,2,0,0
6218,3.395833333,2.145833333,0.25,0.25,2,1,0,0
6220,10.30208333,12.1875,0.625,0.75,3,4,0,0
6221,9.3125,18.5,0.625,1,3,3,0,0
6231,7.541666667,2.291666667,0.5,0.5,3,2,0,0
6235,4.552083333,5.541666667,0.625,0.5,3,3,0,0
6237,8.6875,3.4375,0.75,0.75,3,4,0,0
6238,3.802083333,2.135416667,0.625,0.125,1,1,0,0
6240,4.78125,5.53125,0.375,0.375,3,3,0,0
6241,0,1.885416667,0,0.125,0,4,0,0
6242,1.760416667,4.020833333,0.125,0.25,1,2,0,0
6243,4.90625,2.541666667,0.375,0.5,2,1,0,0
6244,9.677083333,7.552083333,0.625,0.375,4,4,0,0
6252,14.71875,15.71875,0.875,0.875,3,3,0,0
6255,8.322916667,11.20833333,0.875,1,2,3,0,0
6258,3.15625,8.447916667,0.375,0.875,2,3,0,0
6268,5.78125,7.541666667,0.375,0.5,2,3,0,0
6276,0,4.666666667,0,0.5,0,2,0,0
6284,18.35416667,22.16666667,1,1,2,2,0,0
6296,9.427083333,7.666666667,0.625,0.5,4,4,0,0
6390,4.15625,0,0.375,0,2,0,0,0
6396,6.916666667,5.53125,0.5,0.375,3,4,0,0
6413,5.78125,13.19791667,0.375,0.875,3,3,0,0
6424,4.65625,14.35416667,0.375,1,4,3,0,0
6434,11.0625,7.791666667,0.75,0.5,5,5,1,1
6445,10.6875,14.45833333,0.75,1,3,4,0,0
6739,2.78125,4.677083333,0.375,0.625,2,3,0,0
6740,2.145833333,4.916666667,0.25,0.5,2,2,0,0
6744,7.802083333,7.177083333,0.625,0.625,3,2,0,0
6749,2.895833333,7.3125,0.25,0.75,1,2,0,0
6750,3.15625,4.03125,0.375,0.375,1,2,0,0
6805,3.020833333,5.916666667,0.25,0.5,1,1,0,0
6806,2.145833333,1.510416667,0.25,0.125,2,2,0,0
6814,1.895833333,6.052083333,0.25,0.625,2,2,0,0
6830,0,5.53125,0,0.375,0,4,0,0
6897,3.770833333,7.916666667,0.25,0.5,2,3,0,0
6898,0,5.041666667,0,0.5,0,3,0,0
6900,11.3125,5.03125,0.75,0.375,2,3,0,0
6901,8.302083333,11.44791667,0.625,0.875,3,3,0,0
6903,5.28125,2.010416667,0.375,0.125,1,2,0,0
6904,6.041666667,2.770833333,0.5,0.25,2,1,0,0
6907,1.770833333,3.78125,0.25,0.375,2,2,0,0
6908,1.010416667,8.177083333,0.125,0.625,2,2,0,0
6911,7.041666667,8.947916667,0.5,0.875,1,3,0,0
6913,3.020833333,10.69791667,0.25,0.875,1,2,0,0
6915,7.541666667,10.5625,0.5,0.75,4,4,0,0
6917,2.020833333,10.20833333,0.25,1,1,3,0,0
6918,1.145833333,5.552083333,0.25,0.625,2,3,0,0
6919,3.020833333,7.666666667,0.25,0.5,4,4,0,0
6920,2.895833333,3.645833333,0.25,0.25,3,4,0,0
6922,0,0,0,0,0,0,0,0
6923,7.416666667,8.166666667,0.5,0.5,1,3,0,0
6924,2.770833333,3.78125,0.25,0.375,2,2,0,0
6926,1.885416667,5.15625,0.125,0.375,3,3,0,0
6927,0,7.552083333,0,0.625,0,2,0,0
6929,0,7.416666667,0,0.5,0,3,0,0
6931,2.010416667,7.041666667,0.125,0.375,3,2,0,0
6932,1.010416667,3.020833333,0.125,0.25,1,3,0,0
6933,0,4.78125,0,0.375,0,3,0,0
6938,0,1.385416667,0,0.125,0,1,0,0
6940,2.010416667,6.03125,0.125,0.375,5,5,1,1
6943,3.770833333,12.07291667,0.25,0.875,2,3,0,0
6944,3.770833333,0,0.25,0,3,0,0,0
6945,5.291666667,7.677083333,0.5,0.625,2,3,0,0
